Private Predicate,Private URI,Wikidata Property,Wikidata Label,Relation,Candidates
join,http://example.org/private_kb/join,wdt:P2738,disjoint union of,owl:equivalentProperty,wdt:P2738=disjoint union of; wdt:P2832=Joint Electronics Type Designation Automated System designation; wdt:P7122=opinion joined by
reach,http://example.org/private_kb/reach,wdt:P4690,Oireachtas member ID,owl:equivalentProperty,wdt:P4690=Oireachtas member ID; wdt:P2443=stage reached; wdt:P8526=Have I Been Pwned breach ID
want for,http://example.org/private_kb/wantFor,N/A,N/A,none,
die By,http://example.org/private_kb/dieBy,wdt:P2198,average gradient,owl:equivalentProperty,wdt:P2198=average gradient; wdt:P4543=has listed ingredient; wdt:P5632=Persons of Indian Studies ID; wdt:P5616=Comédie-Française ID; wdt:P5727=Partis d'Arcadie ID
develop,http://example.org/private_kb/develop,wdt:P3094,develops from,owl:equivalentProperty,wdt:P3094=develops from; wdt:P178=developer; wdt:P4843=development of anatomical structure; wdt:P4486=Google Play developer ID; wdt:P1081=Human Development Index
join in,http://example.org/private_kb/joinIn,wdt:P2738,disjoint union of,owl:equivalentProperty,wdt:P2738=disjoint union of; wdt:P2832=Joint Electronics Type Designation Automated System designation; wdt:P7122=opinion joined by
miss by,http://example.org/private_kb/missBy,wdt:P531,diplomatic mission sent,owl:equivalentProperty,wdt:P531=diplomatic mission sent; wdt:P450=astronaut mission; wdt:P88=commissioned by; wdt:P3057=Charity Commission no.; wdt:P4273=New York City Landmarks Preservation Commission ID
take from,http://example.org/private_kb/takeFrom,wdt:P1956,takeoff and landing capability,owl:equivalentProperty,wdt:P1956=takeoff and landing capability; wdt:P2033=category for pictures taken with this camera; wdt:P2430=takeoff roll; wdt:P2542=acceptable daily intake; wdt:P8305=LongTake person ID
set for,http://example.org/private_kb/setFor,wdt:P808,Asset of cultural interest code,owl:equivalentProperty,wdt:P808=Asset of cultural interest code; wdt:P4103=assets under management; wdt:P4153=offset; wdt:P4197=IBM graphic character set global ID; wdt:P3118=OpenDomesday settlement ID
send to,http://example.org/private_kb/sendTo,N/A,N/A,none,
supply,http://example.org/private_kb/supply,wdt:P2286,arterial supply,owl:equivalentProperty,wdt:P2286=arterial supply; wdt:P2296=money supply; wdt:P5623=type of water supply
address Through,http://example.org/private_kb/addressThrough,wdt:P968,email address,owl:equivalentProperty,wdt:P968=email address; wdt:P4776=MAC Address Block Large ID; wdt:P2497=Latvian National Address Register ID; wdt:P6375=street address; wdt:P4033=Mastodon address
begin By,http://example.org/private_kb/beginBy,N/A,N/A,none,
steal from,http://example.org/private_kb/stealFrom,N/A,N/A,none,
target in,http://example.org/private_kb/targetIn,wdt:P533,target,owl:equivalentProperty,"wdt:P533=target; wdt:P5458=Guide to Pharmacology Target ID; wdt:P2661=target interest rate; wdt:P6884=target muscle; wdt:P12933=relates to sustainable development goal, target or indicator"
want at,http://example.org/private_kb/wantAt,N/A,N/A,none,
roll By,http://example.org/private_kb/rollBy,wdt:P3017,Rolling Stone artist ID,owl:equivalentProperty,wdt:P3017=Rolling Stone artist ID; wdt:P4110=Crunchyroll ID (deprecated); wdt:P3162=Rock and Roll Hall of Fame ID; wdt:P4331=Department of Education and Skills roll number; wdt:P5240=RollDaBeats artist ID
tell,http://example.org/private_kb/tell,wdt:P59,constellation,owl:equivalentProperty,wdt:P59=constellation; wdt:P3061=Basisregistratie Instellingen number; wdt:P4296=stellar rotational velocity; wdt:P11832=satellite view
engineer,http://example.org/private_kb/engineer,wdt:P631,structural engineer,owl:equivalentProperty,wdt:P631=structural engineer; wdt:P5904=ASCE Historical Civil Engineering Landmark ID; wdt:P7237=China Engineering Expert Tank ID; wdt:P13408=National Academy of Engineering member ID; wdt:P13809=Chinese Engineers Relational Database ID
report In,http://example.org/private_kb/reportIn,wdt:P561,NATO reporting name,owl:equivalentProperty,wdt:P561=NATO reporting name; wdt:P3147=United States Reports ID; wdt:P5579=flight-report.com airline ID; wdt:P6339=reports periodicity; wdt:P1380=BridgeReports.com ID
confirm to,http://example.org/private_kb/confirmTo,wdt:P1674,number confirmed,owl:equivalentProperty,wdt:P1674=number confirmed
tell on,http://example.org/private_kb/tellOn,wdt:P59,constellation,owl:equivalentProperty,wdt:P59=constellation; wdt:P3061=Basisregistratie Instellingen number; wdt:P4296=stellar rotational velocity; wdt:P11832=satellite view
say to,http://example.org/private_kb/sayTo,wdt:P2268,Musée d'Orsay artist or personality ID,owl:equivalentProperty,wdt:P2268=Musée d'Orsay artist or personality ID; wdt:P4659=Musée d'Orsay artwork ID; wdt:P9470=HistoryLink essay number; wdt:P12325=Sayed Ganj Balochi Glossary ID; wdt:P12979=Say Who ID
astronaut,http://example.org/private_kb/astronaut,wdt:P450,astronaut mission,owl:equivalentProperty,wdt:P450=astronaut mission; wdt:P12518=Encyclopedia Astronautica ID
occur in,http://example.org/private_kb/occurIn,wdt:P837,day in year for periodic occurrence,owl:equivalentProperty,wdt:P837=day in year for periodic occurrence; wdt:P1760=Aviation Safety Network Wikibase Occurrence; wdt:P12912=object of occurrence; wdt:P12913=class of object(s) of occurrence; wdt:P12992=objects of occurrence have role
